拠点,取得時刻,機器の計測時刻,PV(V),BAT(V),取得方法
cam14,2026-08-16T05:36:50.332Z,2026-08-16 14:30:18,17.135,13.442,サーバー(直接取得)
cam36,2026-08-16T05:36:50.564Z,2026-08-16 14:30:07,17.770,13.535,サーバー(直接取得)
cam40,2026-08-16T05:36:50.791Z,2026-08-16 14:30:08,17.038,13.486,サーバー(直接取得)
cam42,2026-08-16T05:36:51.023Z,2026-08-16 14:31:12,19.717,13.508,サーバー(直接取得)
cam43,2026-08-16T05:36:51.250Z,2026-08-16 14:30:15,19.275,13.469,サーバー(直接取得)
cam46,2026-08-16T05:36:51.470Z,2026-08-16 14:30:21,17.859,12.774,サーバー(直接取得)
cam47,2026-08-16T05:36:51.699Z,2026-08-16 14:30:07,16.958,13.038,サーバー(直接取得)
cam52,2026-08-16T05:36:51.955Z,2026-08-16 14:30:25,22.130,12.506,サーバー(直接取得)
cam53,2026-08-16T05:36:52.186Z,2026-08-16 14:30:04,22.090,13.500,サーバー(直接取得)
cam54,2026-08-16T05:36:52.421Z,2026-08-16 14:30:21,17.102,13.425,サーバー(直接取得)
cam55,2026-08-16T05:36:52.649Z,2026-08-16 14:30:21,22.412,12.612,サーバー(直接取得)
cam01,2026-08-16T05:57:55.158Z,2026-08-16 14:50:07,21.060,13.610,サーバー(直接取得)
cam02,2026-08-16T05:57:55.794Z,2026-08-16 14:50:07,21.294,13.610,サーバー(直接取得)
cam03,2026-08-16T05:57:56.012Z,2026-08-16 14:50:16,19.572,13.456,サーバー(直接取得)
cam04,2026-08-16T05:57:56.228Z,2026-08-16 14:50:07,19.918,13.530,サーバー(直接取得)
cam08,2026-08-16T05:57:56.458Z,2026-08-16 14:40:22,22.404,12.598,サーバー(直接取得)
cam09,2026-08-16T05:57:56.670Z,2026-08-16 14:50:16,19.033,13.544,サーバー(直接取得)
cam11,2026-08-16T05:57:56.873Z,2026-08-16 14:50:07,19.814,13.456,サーバー(直接取得)
cam12,2026-08-16T05:57:57.081Z,2026-08-16 14:50:07,17.086,13.311,サーバー(直接取得)
cam13,2026-08-16T05:57:57.284Z,2026-08-16 14:50:07,20.771,13.610,サーバー(直接取得)
cam14,2026-08-16T05:57:57.492Z,2026-08-16 14:50:17,20.336,13.464,サーバー(直接取得)
